doi,title,publication_year,venue,is_open_access,llm_relevance,llm_variant,llm_approach,llm_metaheuristics,llm_is_hybrid,llm_how_solved
10.1038/s41598-026-51865-5,The capacitated arc routing problem for on-road anti-dust operations,2026,Scientific Reports,True,Variante de CARP,Dinámico / Time-dependent,Híbrido / Matheurística,VNS; Algoritmo genético,True,Metaheurística de dos etapas con VNS y algoritmo genético híbrido para CARP con servicios heterogéneos y ganancias dependientes del tiempo.
10.1049/cit2.70106,Building Blocks as Experiences in Dynamic Capacitated Arc Routing Problems,2026,CAAI Transactions on Intelligence Technology,True,Variante de CARP,Dinámico / Time-dependent,Metaheurística,Algoritmo evolutivo,False,Marco de optimización dinámica que reutiliza bloques de solución de instancias previas del DCARP.
10.1109/tetci.2026.3681302,Edge Filtering Attention Model With Depot-Neighbor Strategy for Multi-Depot Capacitated Arc Routing Problem,2026,IEEE Transactions on Emerging Topics in Computational Intelligence,False,Variante de CARP,Multi-depósito,Aprendizaje / ML,,False,Modelo de aprendizaje por refuerzo profundo con atención de filtrado de aristas para MDCARP.
10.1049/cit2.70133,Guest Editorial: Computational Intelligence in Dynamic and Uncertain Environments,2026,CAAI Transactions on Intelligence Technology,True,Arc routing relacionado,Otra variante,Survey / Teórico / Modelado,,False,Editorial sobre inteligencia computacional en entornos dinámicos e inciertos.
10.1287/trsc.2025.0155,"The Undirected Team Orienteering Arc Routing Problem: Formulations, Valid Inequalities, and Exact Algorithms",2026,Transportation Science,False,Variante de CARP,Prize-collecting / Profitable,Exacto,,False,"Formulaciones, desigualdades válidas y algoritmos exactos para el team orienteering arc routing con aristas requeridas."
10.5281/zenodo.20816437,hrmm_arc_routing_dataset,2026,Zenodo (CERN European Organization for Nuclear Research),True,Variante de CARP,Multi-depósito,Híbrido / Matheurística,Algoritmo genético; PSO,True,"Dataset y benchmark de un GA híbrido (EG-HGA) frente a GA, PSO y solver exacto Gurobi para ruteo ferroviario multi-depósito consciente del carbono."
10.5281/zenodo.20816436,hrmm_arc_routing_dataset,2026,Zenodo (CERN European Organization for Nuclear Research),True,Variante de CARP,Multi-depósito,Híbrido / Matheurística,Algoritmo genético; PSO,True,"Dataset y benchmark de un GA híbrido (EG-HGA) frente a GA, PSO y solver exacto Gurobi para ruteo ferroviario multi-depósito consciente del carbono."
,Optimering av snöröjningsrutter,2026,DiVA at Umeå University (Umeå University),True,Variante de CARP,Otra variante,Exacto,,False,Modelos de optimización matemática para planificar rutas municipales de quitanieves.
10.13016/jgbp-fhli,RESILIENT AND PREDICTIVE MULTI-DEPOT ARC ROUTING FOR RECHARGEABLE AND CAPACITY-CONSTRAINED VEHICLES WITH UNCERTAIN FAILURES,2026,Digital Repository at the University of Maryland (University of Maryland College Park),True,Variante de CARP,Multi-depósito,No especificado,,False,Modela el ruteo resiliente y predictivo de UAVs (rural postman multi-depósito recargable) con fallas inciertas.
10.1016/j.ejor.2025.07.032,A multi-start local search matheuristic for the capacitated arc routing problem with irregular services,2025,European Journal of Operational Research,True,Variante de CARP,Periódico (PCARP),Híbrido / Matheurística,Búsqueda local multi-arranque,True,Matheurística que combina una formulación por rutas con búsqueda local multi-arranque para el PCARP con servicios irregulares.
,Uncertainty Time Dependent Capacitated Arc Routing Problem (UTDCARP) on public transport networks,2025,FER Repository,True,Variante de CARP,Dinámico / Time-dependent,Survey / Teórico / Modelado,,False,Modelado y simulación de una red de tranvía con dependencia temporal e incertidumbre usando datos GTFS.
,A Novel Linear Programming Model for the Capacitated Arc Routing Problem Adapted to Roadside Management Operations,2025,HAL (Le Centre pour la Communication Scientifique Directe),True,Variante de CARP,CARP clásico,Exacto,,False,Modelo de programación lineal para CARP adaptado a operaciones de gestión de bordes de carretera.
10.1109/cec65147.2025.11043113,Diverse Counterfactual Explanations by Differential Evolution with Ablation Strategies for Uncertain Capacitated Arc Routing Problem,2025,,False,Variante de CARP,Estocástico / Incierto,Híbrido / Matheurística,Programación genética (hiper-heurística); Evolución diferencial,True,Explicaciones contrafactuales mediante evolución diferencial con ablación sobre reglas GPHH para el UCARP.
10.1109/itsc60802.2025.11423136,A Novel Mixed-Integer Linear Programming Model for the Capacitated Arc Routing Problem Adapted to Roadside Management Operations,2025,,False,Variante de CARP,CARP clásico,Exacto,,False,Modelo de programación lineal entera mixta (MILP) para CARP en operaciones de gestión de bordes de carretera.
10.1109/tnnls.2025.3588209,Distance-Aware Attention Reshaping for Enhancing Generalization of Neural Solvers,2025,IEEE Transactions on Neural Networks and Learning Systems,False,No relevante,No es CARP (RPP/CPP/otro),Aprendizaje / ML,,False,Método de reajuste de atención por distancia para solvers neuronales de TSP/VRP (no arc routing).
10.48550/arxiv.2501.00852,Hybridising Reinforcement Learning and Heuristics for Hierarchical Directed Arc Routing Problems,2025,arXiv (Cornell University),True,Variante de CARP,Otra variante,Híbrido / Matheurística,Aprendizaje por refuerzo,True,Heurística rápida guiada por aprendizaje por refuerzo para el CARP jerárquico dirigido (HDCARP).
